"nomPilote";"Genre";"Espece"
"97395";"maho cigare";"Couratari";"oblongifolia"
"826";"maho cochon";"Sterculia";"pruriens"
"12196";"maho cochon";"Sterculia";"speciosa"
"10014";"maho coton";"Eriotheca";"globosa"
"30325";"maho coton";"Pachira";"dolichocalyx"
"59498";"maho coton";"Indet.";"Indet."
"56";"maho noir";"Lecythis";"persistens"
"260";"maho noir";"Eschweilera";"sagotiana"
"905";"maho noir";"Indet.";"Indet."
"3058";"maho noir";"Eschweilera";"coriacea"
"5368";"maho noir";"Eschweilera";"pedicellata"
"10091";"maho noir";"Sloanea";"grandiflora"
"19400";"maho noir";"Eschweilera";"wachenheimii"
"23130";"maho noir";"Eschweilera";"Indet."
"31331";"maho noir";"Eschweilera";"grandiflora_form2"
"48536";"maho noir";"Gustavia";"hexapetala"
"71811";"maho noir";"Pouteria";"gongrijpii"
"1354";"maho rouge";"Lecythis";"persistens"
"6142";"maho rouge";"Indet.";"Indet."
"6479";"maho rouge";"Lecythis";"corrugata subsp. corrugata"
"11416";"maho rouge";"Lecythis";"chartacea"
"12261";"maho rouge";"Eschweilera";"sagotiana"
"13315";"maho rouge";"Lecythis";"persistens subsp. aurantiaca"
"13388";"maho rouge";"Eschweilera";"chartaceifolia"
"32661";"maho rouge";"Lecythis";"corrugata"
"48867";"maho rouge";"Gustavia";"hexapetala"
"66043";"maho rouge";"Siparuna";"decipiens"
"799";"malobi";"Micropholis";"venulosa"
"2391";"malobi";"Ecclinusa";"guianensis"
"3328";"malobi";"Pouteria";"coriacea"
"37130";"malobi";"Pouteria";"singularis"
"41283";"malobi";"Ecclinusa";"Indet."
"41331";"malobi";"Ecclinusa";"ramiflora"
"24724";"mamadosu";"Duroia";"aquatica"
"38213";"mamadosu";"Duroia";"eriopila"
"10773";"man papaie";"Pourouma";"bicolor"
"24682";"man papaie";"Pourouma";"melinonii"
"29";"man tapuhupa";"Gustavia";"hexapetala"
"16848";"man tapuhupa";"Gustavia";"Indet."
"6850";"mapa";"Lacmellea";"aculeata"
"16999";"mapa";"Ambelania";"acida"
"72395";"mapa";"Tabernaemontana";"attenuata"
"29049";"maripa";"Attalea";"maripa"
"40228";"matawai gedu";"Tachigali";"Indet."
"41561";"matawai gedu";"Tachigali";"paraensis"
"4766";"meli";"Lecythis";"chartacea"
"7687";"meli";"Lecythis";"persistens"
"9414";"meli";"Eschweilera";"simiorum"
"12772";"meli";"Lecythis";"poiteaui"
"28402";"meli";"Eschweilera";"congestiflora"
"33801";"meli";"Chaetocarpus";"schomburgkianus"
"66122";"meli";"Aspidosperma";"excelsum"
"81227";"mesupu";"Miconia";"tschudyoides"
"99594";"mesupu";"Miconia";"poeppigii"
"100533";"mesupu";"Henriettella";"flavescens"
"2690";"Moronobea";"Symphonia";"sp.1"
"5549";"moutouchi savane";"Pterocarpus";"officinalis"
"32607";"moutouchi savane";"Helicostylis";"tomentosa"
"53554";"moutouchi savane";"Alchornea";"triplinervia"
"974";"muamba";"Oxandra";"asbeckii"
"64364";"muamba";"Licania";"membranacea"
"5664";"neko udu";"Ormosia";"coutinhoi"
"57249";"neko udu";"Sagotia";"racemosa"
"67471";"neko udu";"Discophora";"guianensis"
"224";"niamboka";"Pouteria";"gongrijpii"
"683";"niamboka";"Pouteria";"guianensis"
"5280";"niamboka";"Indet.";"Indet."
"7463";"niamboka";"Pouteria";"torta"
"8190";"niamboka";"Pouteria";"venosa"
"11908";"niamboka";"Duroia";"micrantha"
"22246";"niamboka";"Duroia";"longiflora"
"29797";"niamboka";"Pouteria";"fimbriata"
"39265";"niamboka";"Chrysophyllum";"prieurii"
"41588";"niamboka";"Pouteria";"jariensis"
"42126";"niamboka";"Eugenia";"sp.FG21-Holst"
"45534";"niamboka";"Pouteria";"cicatricata"
"64956";"niamboka";"Pouteria";"flavilatex"
"86656";"niamboka";"Oxandra";"asbeckii"
"89209";"niamboka";"Eugenia";"patrisii"
"18534";"niamisi udu";"Indet.";"sp.7CAY-ATDN"
"67699";"niamisi udu";"Neea";"Indet."
"6376";"pali udu";"Aspidosperma";"excelsum"
"23111";"pali udu";"Aspidosperma";"Indet."
"77984";"pali udu";"Aspidosperma";"oblongum"
"750";"palmier";"Oenocarpus";"bataua"
"10665";"palmier";"Indet.";"Indet."
"14055";"palmier";"Attalea";"maripa"
"17278";"palmier";"Euterpe";"oleracea"
"65756";"palmier";"Oenocarpus";"bacaba"
"66552";"papa udu apisi";"Sloanea";"laxiflora"
"75351";"papa udu apisi";"Sloanea";"parviflora"
"36081";"parcouri";"Platonia";"insignis"
"5603";"patawa";"Oenocarpus";"bataua"
"5718";"patawa";"Attalea";"maripa"
"74810";"patawa";"Oenocarpus";"bacaba"
"12666";"pedieku";"Xylopia";"crinita"
"23532";"pedieku";"Xylopia";"nitida"
"100383";"pepe (a)tiki";"Eugenia";"patrisii"
"7949";"pepe angasa udu";"Duguetia";"calycina"
"16209";"pepe angasa udu";"Indet.";"Indet."
"82351";"pepe angasa udu";"Annona";"foetida"
"1436";"pepe boiti";"Indet.";"Indet."
"4962";"pepe boiti";"Chrysophyllum";"prieurii"
"22665";"pepe boiti";"Pouteria";"sp.42CAY-ATDN"
"48287";"pepe boiti";"Pouteria";"gongrijpii"
"72051";"pepe boiti";"Micropholis";"guyanensis"
"77766";"pepe boiti";"Pouteria";"torta"
"82994";"pepe boiti";"Pouteria";"melanopoda"
"98611";"pinot";"Euterpe";"oleracea"
"1654";"pulu";"Helicostylis";"tomentosa"
"8107";"pulu";"Maquira";"guianensis"
"16115";"pulu";"Indet.";"Indet."
"86573";"pulu";"Perebea";"rubra"
"34212";"sabana koko";"Emmotum";"fagifolium"
"38885";"sabana koko";"Hebepetalum";"humiriifolium"
"42319";"sabana koko";"Parinari";"campestris"
"92096";"sabana koko";"Indet.";"Indet."
"1916";"saint martin rouge";"Andira";"coriacea"
"71840";"saint martin rouge";"Licaria";"cannella"
"6874";"samaati pali udu";"Chimarrhis";"turbinata"
"48999";"samaati pali udu";"Eugenia";"albicans"
"88";"santi koko";"Licania";"laxiflora"
"373";"santi koko";"Licania";"membranacea"
"1408";"santi koko";"Licania";"canescens"
"3658";"santi koko";"Indet.";"Indet."
"4216";"santi koko";"Licania";"micrantha"
"4713";"santi koko";"Protium";"guianense"
"7662";"santi koko";"Licania";"sprucei"
"17974";"santi koko";"Licania";"ovalifolia"
"18808";"santi koko";"Licania";"alba"
"23027";"santi koko";"Hirtella";"bicornis"
"23705";"santi koko";"Myrcia";"fallax"
"38640";"santi koko";"Licania";"Indet."
"45117";"santi koko";"Licania";"densiflora"
"58885";"santi koko";"Couepia";"bracteosa"
"85791";"santi koko";"Couepia";"guianensis"
"43002";"satiné rubané";"Brosimum";"rubescens"
"60954";"satiné rubané";"Pseudolmedia";"laevis"
"62550";"satiné rubané";"Helicostylis";"tomentosa"
"63454";"satiné rubané";"Perebea";"rubra"
"68622";"satiné rubané";"Indet.";"Indet."
"69561";"satiné rubané";"Naucleopsis";"guianensis"
"75487";"satiné rubané";"Trymatococcus";"oligandrus"
"75793";"satiné rubané";"Chrysophyllum";"sp.3CAY-ATDN"
"16306";"simarouba";"Simarouba";"amara"
"2638";"singabasu";"Cupania";"scrobiculata"
"8802";"singabasu";"Cupania";"Indet."
"44412";"singabasu";"Matayba";"guianensis"
"1168";"sipiki udu";"Chaetocarpus";"sp.1CAY-ATDN"
"7608";"sipiki udu";"Chaetocarpus";"schomburgkianus"
"17349";"supun udu";"Lueheopsis";"rugosa"
"71774";"supun udu";"Theobroma";"subincanum"
"427";"Symphonia";"Symphonia";"sp.1"
"2744";"Symphonia";"Symphonia";"Indet."
"5297";"Symphonia";"Symphonia";"globulifera"
"2026";"taapu tiki";"Dendrobangia";"boliviana"
"23992";"taapu tiki";"Pouteria";"gongrijpii"
"51603";"taapu tiki";"Ferdinandusa";"paraensis"
"4443";"tamalin";"Abarema";"jupunba"
"9961";"tatu udu";"Talisia";"hexaphylla"
"13053";"tatu udu";"Indet.";"Indet."
"19940";"tatu udu";"Swartzia";"guianensis"
"21509";"tatu udu";"Talisia";"simaboides"
"24201";"tatu udu";"Trichilia";"micrantha"
"31866";"tatu udu";"Indet.";"sp.1CAY-ATDN"
"31920";"tatu udu";"Talisia";"praealta"
"39951";"tatu udu";"Conceveiba";"guianensis"
"44018";"tatu udu";"Talisia";"Indet."
"61046";"tatu udu";"Dialium";"guianense"
"69952";"tatu udu";"Sloanea";"laxiflora"
"7271";"tingi moni";"Indet.";"Indet."
"16126";"tingi moni";"Protium";"giganteum"
"26648";"tingi moni";"Protium";"gallicum"
"45333";"tingi moni";"Protium";"opacum"
"46864";"tingi moni";"Protium";"subserratum"
"55472";"tingi moni";"Protium";"guianense"
"72609";"tingi moni";"Protium";"decandrum"
"84476";"tingi moni";"Protium";"sagotianum"
"9312";"tonka";"Swartzia";"grandifolia"
"12940";"topi";"Mouriri";"crassifolia"
"60926";"topi";"Votomita";"guianensis"
"24877";"tosopasa";"Iryanthera";"hostmannii"
"1563";"tossopassa marécage";"Iryanthera";"sagotiana"
"3552";"tossopassa marécage";"Iryanthera";"hostmannii"
"15928";"tossopassa marécage";"Trichilia";"schomburgkii"
"19913";"tossopassa marécage";"Licania";"alba"
"1195";"tossopassa montagne";"Iryanthera";"sagotiana"
"27417";"tossopassa montagne";"Iryanthera";"hostmannii"
"115";"tupiki weko";"Chaunochiton";"kappleri"
"8553";"tupiki weko";"Byrsonima";"laevigata"
"44547";"tupiki weko";"Eschweilera";"sagotiana"
"10975";"wakapu";"Vouacapoua";"americana"
"3952";"wakapu gitin";"Recordoxylon";"speciosum"
"1246";"wan ede";"Simaba";"cedron"
"20445";"wandekole";"Glycydendron";"amazonicum"
"28614";"wata tiki";"Sandwithia";"guyanensis"
"57276";"wata tiki";"Sagotia";"racemosa"
"24666";"weko";"Inga";"marginata"
"29369";"weko";"Inga";"melinonis"
"34778";"weko";"Inga";"Indet."
"36452";"weko";"Inga";"cayennensis"
"56817";"weko";"Inga";"sarmentosa"
"94768";"weko";"Inga";"loubryana"
"8625";"weti apisi";"Leonia";"glycycarpa"
"11784";"weti apisi";"Ocotea";"glomerata"
"47942";"weti apisi";"Indet.";"Indet."
"64580";"weti apisi";"Chaetocarpus";"sp.1CAY-ATDN"
